ville,id,age,nom prenom,email,tel
London,1,27,'John Smith Langley',john.smith@bt.com,097687531
Fulham,2,33,'Jan Asling',jan.asling@bt.com,0789436721
Lambeth,3,22,'Barbara Carberry',barbara.carberry@bt.com,0743557612
London,4,25,'Linda Burrows Meth',linda.burrows@bt.com,0826354712
Kennington,5,35,'Damian Smith Arners',damian.smith@bt.com,09784367121
Holborn,6,20,'Elizabeth Stone',elizabeth.stone@bt.com,0844568733
Fulham,7,32,'Ian Macilwain',ian.macilwain@bt.com,0589900045
Hackney One,8,28,'Christina Russo',christina.russo@bt.com,0534342256
London,9,30,'Lyn Lowe',lyn.lowe@bt.com,0632454565
Holborn,10,38,'Emma Lordan Belley',emma.lordan@bt.com,0756563412
London,11,26,'Cindy Lea',cindy.lea@bt.com,0588986712
Madrid,1,23,'Patricia Marquéz',patricia.marquez@mobistar.es,017684536
Toledo,2,34,'Carlos Còntreras',carlos.contreras@mobistar.es,0876354712
Sevilla,3,18,'Gabriela Fernandez Ludoviz',gabriela.fernandez@mobistar.es,0893847325
Barcelona,4,37,'Alehandro Fuentes',alehandro.fuentes@mobistar.es,0826354712
Madrid,5,46,'Carolina Machado',carolina.machado@mobistar.es,09784367121
Sevilla,6,22,'Lolita Lagrandés Urtado',lolita.urtado@mobistar.es,0176438712
Barcelona,7,49,'Lùis Pedreira',luis.pedreira@mobistar.es,0687237676
Madrid,8,25,'Huan Cerrano',huan.cerrano@mobistar.es,0498987752
Valencia,9,28,'Pedròs Picapiedra',pedro.picapiedra@mobistar.es,0187873374
Valencia,10,32,'Gustavo Andreade',gustavo.andreade@mobistar.es,0999873267
Cordoba,11,21,'Maria Gònsaléz',maria.gonsalez@mobistar.es,0367668865
Firenze,1,18,'Giuseppe Alfieri Lanterna',giuseppe.alfieri@tim.it,0813475678
Torino,2,24,'Maurò Torno Subito',mauro.torno@tim.it,0667849870
Milano,3,28,'Adriana Lazzaro',adriana.lazzaro@tim.it,0298768732
Caserta,4,30,'Livio Marrocco',livio.marrocco@tim.it,082365473805
Napoli,5,19,'Gianni Romario Il Grande',gianni.romario@tim.it,08167985412
Firenze,6,24,'Floriana La bella',floriana.chiaravalle@tim.it,33578653409
Catania,7,35,'Daniela Rossini Lante della Rovere',daniela.rossi@tim.it,09567549876
Catania,8,35,'Daniela Rossi',daniela.rossi@tim.it,09567549876
Caserta,9,22,'Manuela Valenti',manuela.valenti@tim.it,08235645980
Roma,10,27,'Davide Corradini',davide.corradini@tim.it,0678569809
Milano,11,37,'Marco Trottà',marco.trotta@tim.it,0287657698
